"Name","Description","Category","WebsiteURL","Phone","Address","City","Latitude","Longitude","Area","PhotoName","HasShop","HasCoupon","CouponURL","Keywords"
"New Garden Nursery & Landscaping","Specializes in deer drought and frost tolerant native plants including groundcovers. We offer full landscape design and installation.","Nursery","www.newgardenlandscaping.com","831-462-1610","133 Need Str.","Santa Cruz",36.98,-121.97,12,"abc.jpg","n","n","http://cplamb.blogspot.com/","winery"
"Olive Springs Quarry  Inc.","Olive Springs Quarry mines decomposed granite and produces base rock  drain rock gabion and sand.  We also have an asphalt plant and can supply you with both hot and cold asphalt.","Quarry",,"831-475-1610","134 Need Str.","Soquel ",37.05,-121.93,12,"17awe.png","n","y","http://cplamb.blogspot.com/","store"
"Outside-In & Outside-In Kids","Specialty Gift and Home Store","Retail","www.oihome.com","(831) 684-0186","135 Need Str.","Aptos / La Selva",36.98,-121.91,12,"abc.jpg","y","n","http://cplamb.blogspot.com/","wood"
"Palace Office Interiors","Palace Office Interiors designs, sells & installs office furniture to businesses, schools & non-profits in Santa Cruz County & neighboring counties. From complete workstations to a simple file cabinet, Palace is your best bet on the Central Coast.","Retail","www.gopalace.com","831-476-3815","136 Need Str.","Santa Cruz",36.99,-121.98,12,"18awe.png","y","y","http://cplamb.blogspot.com/","winery"
"American Abalone Farms","Our farm provides a continuous supply of clean  fresh seawater to the abalone that are grown inside tanks with various types of local seaweeds. The farm is open for direct sales to the public every Saturday from 10 AM to 2 PM.","Food","www.AmericanAbalone.net","831-457-2794","137 Need Str.","North Coast",37.02,-122.21,12,"abc.jpg","n","y","http://cplamb.blogspot.com/","store"
"Staff of Life","Locally owned and sourced foods","Food","www.staffoflifemarket.com","(831) 423-8632","138 Need Str.","Santa Cruz",37.01,-121.95,12,"19awe.png","y","y","http://cplamb.blogspot.com/","wood"
"Summit Store ","Darrell and Karen Osborn are the owners of the Summit Store for the past 34 years. We serve the summit area of Santa Cruz and Santa Clara County . Our store has been in this location for over 65 years. ","Food",,"831-234-7981","139 Need Str.","Santa Cruz",37.12,-121.93,12,"abc.jpg","y","n","http://cplamb.blogspot.com/","winery"
"SunRidge Farms","SunRidge Farms is a name that has become synonymous with natural bulk trail mixes, dried fruits, confections & snack blends. SunRidge also offers USDA certified organic & natural granolas & mueslis, nuts & nut mixes, grains & pastas, herbs & spices.","Food","www.sunridgefarms.com","831-786-7000","140 Need Str.","Santa Cruz",36.9,-121.75,12,"20awe.png","n","n","http://cplamb.blogspot.com/","store"
"Big Creek Lumber Co.","Lumber & Building Materials","Lumber","www.big-creek.com","(831) 457-5029","141 Need Str.","North Coast",37.09,-122.27,12,"abc.jpg","n","y","http://cplamb.blogspot.com/","wood"
"SUP Shack Santa Cruz","SUP Shack Santa Cruz located in the Santa Cruz Harbor offers the best conditions for stand up paddling from smooth water to open ocean.","Sports","www.supshacksantacruz.com","831 464 7467","142 Need Str.","Santa Cruz",36.96,-122,12,"21awe.png","y","n","http://cplamb.blogspot.com/","winery"
"Pelican Ranch Winery","Specializing in Burgundian and Rhone style wines from select Coastal vineyards, Pelican Ranch is a family owned and operated winery in the heart of Capitola. ","Winery",,"831-426-6911",,,36.98,-121.95,12,"abc.jpg","y","y","http://cplamb.blogspot.com/","store"
"Beauregard Vineyards","Family owned and operated winery specializing in locally grown Pinot Noir and Chardonnay. We\'re located in rustic Bonny Doon, CA just 3 miles off of Hwy 1. Tasting room open daily 11am-5pm.","Winery",,"831 425-7777",,,37.04,-122.15,12,"22awe.png","n","y","http://cplamb.blogspot.com/","wood"
"Hunter Hill Vineyard and Winery","Hunter Hill is a family owned Vineyard and winery. We farm 7 acres of vineyard in the Soquel hills and make wine. Our tasting room is open Sat-Sun 11-4. Vann and Christine Slatter are the owners.","Winery",,"831-465-9294",,,37.02,-121.94,12,"abc.jpg","y","n","http://cplamb.blogspot.com/","winery"
"Alfaro Family Vineyards & Winery","Family owned and operated since 1998, Alfaro Family Vineyards & Winery produces Estate grown and bottled Pinot Noir, Chardonnay, Merlot & Syrah at their winery/tasting room in Corralitos. Open for tasting & sales Saturdays 12 - 5. Please call.","Winery","alfarowine.com","(831) 728-5172",,,36.99,-121.82,12,"23awe.png","y","y","http://cplamb.blogspot.com/","store"
"Roudon-Smith Winery","The Roudon-Smith Winery is dedicated to the production of exceptional wines from selected vineyards of the Santa Cruz Mountains and other regions of California.","Winery",,"831-438-1244",,,36.93,-121.79,12,"abc.jpg","n","y","http://cplamb.blogspot.com/","wood"
"Santa Cruz Mountain Vineyard","Since 1975, we produce food-friendly, European-style wines, with a focus on locally grown Pinot Noir. Our sister brand, Quinta Cruz, features the fascinating varieties of Portugal & Spain that are now grown in CA. Tasting noon to 5:30pm Wed - Sun.","Winery",,"831-426-6209",,,36.96,-122.05,12,"24awe.png","y","y","http://cplamb.blogspot.com/","winery"
"Sante Adairius Rustic Ales ","Carefully handcrafted artisan ales that meld European tradition with California edginess with an emphasis on Belgian-inspired ales and aromatic IPAs which are oftenbarrel aged according to age-old practices ","Winery",,"831-295-8190",,,36.98,-121.95,12,"abc.jpg","y","n","http://cplamb.blogspot.com/","store"
"Sante Arcangeli Family Wines","Sante Arcangeli Family Wines are carefully handcrafted Burgundian varietals that have been gently nurtured from rare mountain-grown fruit to a new life as elegant and expressive California Pinot Noir and Chardonnay.","Winery","http://www.santewinery.com","831-406-1262",,,36.99,-121.81,12,"25awe.png","n","n","http://cplamb.blogspot.com/","wood"
"Skov Winery","""Skov"", meaning""Forest"" in Danish, ties in the Hunt's background & the long time wine making home nestled in the redwoods. Skov produces Chardonnay, Pinot Noir, Merlot & Zinfandel.Open every Saturday Noon-4:30pm; picnic tables are available. ","Winery",,,,,37.07,-122.02,12,"abc.jpg","n","y","http://cplamb.blogspot.com/","winery"
"Uncommon Brewers ","We are a CCOF-Certified Organic microbrewery based in Santa Cruz making uncommon beer for uncommon people","Winery",,"(831)621-6270",,,36.98,-122.03,12,"26awe.png","y","n","http://cplamb.blogspot.com/","store"
"Vinocruz","Vinocruz houses a selection of over 150 wines made by more than 60 wineries, all within the Santa Cruz Mountains AVA. Wines by the Glass and Tasting flights featuring these distinct wines are available daily, and change weekly.","Winery",,"831 426-8466",,,36.97,-122.03,12,"abc.jpg","y","y","http://cplamb.blogspot.com/","wood"
