,"color","latitude","longitude","name","phone","url","description","address","state","zip","city","couponOffer","logo","meta","area","type","category","hasShop","hasCoupon","expirationDate"
,"green",36.9740,-122.0203,"Angel L. Hess  LDA","831-426-8536","www.SantaCruzLegal.net","Legal Document Assistant and Notary Public","340 Soquel Avenue #114","CA",95062,"Santa Cruz",,,"Legal Forms Available for Low to No Cost Uncontested Probate Document Assistance Available Small Claims Assistance and Document Preparation Summons  Complaints  Answers and Discovery Responses Will Preparation Services Family Law Motions  Orders to Show Cause  and Responsive Pleadings Assistance with Domestic Violence and Civil Harassment Restraining Orders  Flat Rates Available for Some Matters: Uncontested Family Law Dissolution Package With Minor Child(ren) $900.00 Without Minor Child(ren) $750.00 Contested or Uncontested Unlawful Detainer Actions  Landlord $500.00 Tenant $350.00   ","Santa Cruz","Bronze","Attorneys","y","n",
,"green",37.0532,-122.0096,"Angle Construction  Inc.","831-438-3622","www.angleconst.com","General Building Contractor","54 Old El Pueble Rd #A","CA",95843,"Scotts Valley",,,,"Scotts Valley","Bronze","Contractors  Construction & Design","y","n",
,"yellow",36.9770,-122.0158,"Annie K. Rowland Photography","831-466-0663","www.akrowlandphotography.com",,"714 Soquel Ave.","CA",95062,"Santa Cruz",,,"Photography  family photography  newborn photography  Wedding photography  High school Senior Portraits  Family Portraits  beach portraits  engagement portraits  pet portraits","Aptos / La Selva","Community Supporter","Customer","n","n",
,"green",36.9016,-121.7633,"Annieglass - Watsonville","(831) 761-2041","www.annieglass.com","Elegant gifts and art for the table. Featuring locally handmade  Annieglass and treasure from  artisans worldwide. Gifts  jewelry and bridal registry ","310 Harvest Drive  ","CA",95076,"Watsonville",,,,"Watsonville","Bronze","Gifts","y","n",
,"gold",36.9873,-121.9838,"APPI Pools Spas Solar","831-476-6363","www.appipool.com","Maintenance  repairs & sales for pools  spas and solar.  Local dealers of Bullfrog Spas  featured in showroom  along with pool and spa chemicals  accessories and deck equipment. Service all of Santa Cruz Cty. Family owned 41 years.  License #274205","1527 Commercial Way","CA",95065,"Santa Cruz",,,"pool  spa  solar  contractors  systems  pools. spas  service gold","Santa Cruz","Gold","Contractors  Construction & Design","y","n",
,"green",36.9878,-121.8368,"Aptos Landscape Supply","831 688 6211","http://aptoslandscapesupply.com/","We supply and deliver Landscape  garden and building supplies to all of Santa Cruz County.","5035 Freedom Blvd   ","CA",95003,"Aptos",,"logo_AptosLandscape.JPG",,"Aptos / La Selva","Bronze","Home & Garden","y","n",
,"green",36.9819,-121.9103,"Aptos Natural Foods","831.685.3334",,"Natural Foods Market specializing in Organic Local Produce  Vitamins  Herbs and Natural Body Care.","7506 Soquel Drive ","CA",95062,"Aptos",,,,"Aptos / La Selva","Bronze","Grocers & Specialty Foods","y","n",
,"green",36.9793,-121.9087,"Aptos Shoes & Apparel","(831) 688-8007",,"Play  Work  Dance  Live Enormous Selection of Shoes Women?ÃÂ¢Ã¢ÂÂÃÂÃÂ¨Ã¢ÂÂÃÂÃÂ¢s Apparel and Accessories Dancewear & Lingerie Friendly  Knowledgeable Staff ","20 Rancho Del Mar ","CA",95003,"Aptos",,,,"Aptos / La Selva","Silver","Footwear","y","n",
,"orange",36.9722,-122.0056,"Arenson Solar","831-423-8749","http://www.solarmike.net","Mike Arenson  popularly known as Solar Mike  has more than 35 years experience in the solar energy industry. He designs and sells solar electric systems and has many satisfied customers in Santa Cruz and the Bay area. ","142 Darwin St.","CA",95062,"Santa Cruz",,"logo_SolarMike.jpg","solar energy  electricity  solar mike  green","Santa Cruz","Bronze","Contractors  Construction & Design","n","n",
,"green",36.9747,-122.0263,"Artisans Gallery","(831) 423-8183","www.artisanssantacruz.com","Artisans Gallery features American Made Crafts with an emphasis on local artists from Santa Cruz.  We carry wall art  jewelry  glass  ceramics  metal work  woodworking  cards  candles and more. Artisans has a rotating monthly art show. ","1368 Pacific Ave.  ","CA",95060,"Santa Cruz","10% Store wide to Think Local Members.  Just mention Think Local!  Expires Dec. 2011","logo_ArtisansGallery.jpg",,"Santa Cruz","Bronze","Gifts","y","y",12/31/11 12:00 AM
,"green",36.9689,-122.0250,"Asti - Est. 1937","831-423-7337",,,"715 Pacific Avenue","CA",95060,"Santa Cruz",,,,"Santa Cruz","Bronze","Pubs","y","n",
,"green",36.9721,-122.0356,"Aver-Neuwald-Berryessa Insurance  LLC   DBA: ANB Insurance Services","831-423-4304","www.anbins.com","90 year old  100% locally owned Agency serving you first. Our team of licensed agents strive to provide professional  quality solutions and service for our clients. Products offered: Business  Work Comp  Home  Auto  Health & Employee Benefits  Farms","931 Mission Street","CA",95060,"Santa Cruz",,"logo_ANBInsurance.gif",,"Santa Cruz","Silver","Insurance","y","n",
,"green",36.9877,-121.9810,"B & B SMALL ENGINE REPAIR","831-476-6306","www.bandbsmallenginerepair.com","B&B Small Engine Repair has been selling and servicing outdoor power equipment since 1993. Stocking a full line of Stihl  Honda and Husqvarna equipment plus a wide selection of hand tools and safety gear for local residential and commercial users.","1700 B Commercial Way","CA",95065,"Santa Cruz",,,"chainsaw lawn mower trimmer blower tree arborist agricultural garden supplies hedger stihl husqvarna honda briggs stratton tecumseh rake shovel weed wacker rototiller edger chipper shredder generator brushcutter service repair small engine gasoline electric hand tools santa cruz broom gas can hat cable pruner lopper flashlight climb climbing concrete saw weed weeds gopher logging logger water pump shirt weld welding sharpen fire pressure washer vineyard brush cutter cutting farm park landscape landscaping wood splitter blade winch sprayer chain glove gloves line battery green enviromental oil flower shrub asphalt craftsman echo","Santa Cruz","Bronze","Home & Garden","y","n",
,"green",36.9866,-121.8482,"Bamboo Giant Nursery","831-216-3300","www.bamboogiant.com","Bamboo Hedge Specialists.  Delivery and installations through out California. We also have Bamboo Products and supplies. 20 acres of beautiful Bamboo forest.  Come take a walk and have a picnic among the Bamboo. Open 7 days the week from 10-4.","5601 Freedom Blvd.","CA",95003,"Aptos",,"logo_BambooGiant.jpg",,"Aptos / La Selva","Silver","Home & Garden","y","n",
,"orange",37.0647,-122.0596,"Barbara Hanson - Specializing in Long-Term Care Insurance","831 335 4949","www.BarbaraLTC.com","Can you afford paid help  or will a family member give up their job if you need homecare 3+ months? Illness and injury happen. Barbara has helped over a thousand people in Santa Cruz have a good plan to ensure their lifetime dignity and independence.","Secure POB 1595","CA","95018-1595","Felton","Is Long-Term Care Insurance Right for You? Find Out With a Free 5 Minute Phone Consultation. Health insurance and Medicare will not pay for custodial care at home or in facilities.","logo_BarbaraHanson.jpg","LTC  LTCi  Long-term care  long-term care insurance  insurance  disability  Felton  barbara  hanson barbara hanson  financial planning  senior services  retirement  medicare social security medi-Cal care coordination caregivers nursing home assisted living home healthcare home care retirement planning Long-term health care Santa Cruz Watsonville Monterey Aptos Capitola Morgan Hill San Jose Santa Clare Salinas financing protecting estate assets","Santa Cruz","Silver","Insurance","n","y","0000-00-00 00:00:00"
,"green",36.9834,-121.9791,"Barry Swenson Builder","(831) 475-7100","www.barryswensonbuilder.com","As a third generation builder Barry Swenson Builder uses a 'can-do' approach which is based on a heritage of quality  diversity and functional creativity; dedicated to providing the highest quality service while maintaining a cost-effective approach.","2400 Chanticleer Avenue","CA",95062,"Santa Cruz",,"logo_BarrySwenson.JPG","Developer General Contractor Tenant Improvements Construction Management Property Management","Santa Cruz","Bronze","Contractors  Construction & Design","y","n",
,"gold",36.9735,-122.0348,"BaskinGrant Law Firm","831-425-8999","www.baskingrant.com","Since 1979  Baskin & Grant has been committed to providing excellent legal services in a broad range of practice areas. Their services include Business Law  Family Law  Estate Planning  Real Estate Law  Construction Law and general civil litigation.","730 Mission Street","CA",95060,"Santa Cruz",,"logo_BaskinGrant.jpg","gold","Santa Cruz","Gold","Attorneys","y","n",
,"green",36.9811,-122.0073,"Bay Bed & Mattress","831-457-1201","www.baybed.com","Compare our locally made mattresses to any national brand - we build a better mattress for a lower price.","1378 Soquel Ave.","CA",95062,"Santa Cruz",,,,"Santa Cruz","Bronze","Home & Garden","y","n",
,"gold",36.9764,-121.9702,"Bay Federal Credit Union","(831) 479-6000","www.bayfed.com","Bay Federal membership is open to people who live or work in Santa Cruz  Monterey  and San Benito Counties. Please come to us for personal and business accounts  auto and home loans  free online banking  and nationwide  surcharge-free ATMs.","3333 Clares Street","CA",95010,"Capitola",,"logo_BayFederal.jpg","bank banking credit union account accounts save saving savings check checking kid kids child children financial finance money dollar cash coin business loan loans car auto truck RV recreational vehicle SUV vehicle boat motorcycle bike credit card visa Visa VISA debit mastercard Mastercard MasterCard home house property condo condominium mobile manufactured park approve approval approved heloc HELOC equity mortgage interest rate dividend percent percentage yield annual compound business corporate corporation proprietor ATMs electronic automated automatic online bill bills payment payments debt consolidate consolidation score invest investing investment advise advice advisor service services CD certificate retire retirement purchase qualify qualification qualifications dealer dealership fund funding pre-approve pre-approved pre-approval future need education learn seminar workshop santa cruz eligible eligibility lighthouse county monterey benito member membership benefit benefits discount ticket tickets buy buyer purchase want new used pre-owned Capitola Watsonville Freedom Scotts Valley Lomond downtown local best better great good service exceptional quality CD deposit withdrawal teller coin coins count counter counting volunteer volunteers volunteering support community value valuable reliable friendly safe safety reliable help helpful award gold","Capitola","Gold","Banks & Credit Unions","y","n",
,"green",36.9854,-121.9884,"Bay Plumbing Supply & Showroom  inc.","831-475-2900","www.bayplumbingsupply.com"," Established in 1987  Bay Plumbing Supply is a family owned and operated plumbing supply wholesaler with a 2400 sq ft decorative plumbing showroom.  Our showroom is packed with hundreds of the latest styles in eco-friendly Kitchen and Bath fixtures.","2776 soquel ave","CA",95062,"santa cruz","For a limited time  save 30% OFF MSRP of our entire inventory of decorative  eco-friendly kitchen and bath fixtures on purchases of $300 or more! ","logo_BayPlumbing.jpg","faucet faucets tub tubs whirlpool whirlpools sink sinks kitchen bathroom lavatory shower showers valves showerhead showerheads vessel vessels cabinet cabinets vanity vanities mirror mirrors lighting lights toilet toilets waterclosets watercloset farmhouse stainless steel granite marble quartz clawfoot jetted santa cruz 95060 95062 aptos watsonville ","Santa Cruz","Bronze","Home & Garden","y","y",12/31/11 12:00 AM
,"green",36.9634,-122.0233,"Beach Street Inn","831-423-3031","www.beachstreetinn.com","40 room waterfront motel across from the Wharf with breathtaking views of the Monterey Bay.","125 Beach Street","CA",95060,"Santa Cruz",,,,"Santa Cruz","Bronze","Accommodations","y","n",
,"green",37.0420,-122.1507,"Beauregard Vineyards","831 425-7777","www.beauregardvineyards.com","Family owned and operated winery specializing in locally grown Pinot Noir and Chardonnay.  We\'re located in rustic Bonny Doon  CA just 3 miles off of Hwy 1.  Tasting room open daily 11am-5pm.","10 Pine Flat Road","CA",95060,"Bonny Doon","Mention this ad and receive a two for one wine tasting.","logo_BeauregardVineyards.gif",,"Santa Cruz","Bronze","Wineries","y","y",01/01/14 12:00 AM
,"orange",36.9649,-121.8887,"Beckett PC Solutions","(831) 688-8669","www.beckettpcsolutions.com","Computer and application support for the home. Support & repair solutions  with remote phone support and on site support. New computer purchase. ","323 Los Altos Dr.  ","CA",95003,"Aptos","first hour free to new customers and my discount rate to all Think Local First  Santa Cruz members.","logo_BeckettPC.gif","computers computer web site design repair repairs support phone application applications remote","Aptos / La Selva","Bronze","Computers","n","y",01/01/16 12:00 AM
,"gold",36.9679,-122.0066,"Beckmann's Bakery","(831) 423-9242",,"It's time for Brotzeit!  Nurturing the Old World tradition of breadbaking since 1985. ","104 Bronson St.  ","CA",95062," Santa Cruz",,"logo_Beckmann.jpg","healthy baked bread pies bakery gold","Santa Cruz","Gold","Bakery","y","n",
,"orange",37.0914,-122.0914,"Bed & Breakfast Innkeepers of Santa Cruz County","(831) 336-3355","www.santacruzbnb.com","Our 5 unique Bed and Breakfast Inns offer guests a different Bed to Sleep Inn - Your gateway to the Monterey Bay Marine Sanctuary. Our member Inns are your home on the Coast  City or Santa Cruz Mountains. All are locally owned and operated! ","245 Fairview Ave. ","CA",95005," Ben Lomond","Subject to availability  the following Bed and Breakfast Inns are offering you a 10 per cent off your stay: FAIRVIEW MANOR in Beautiful Ben Lomond; FLORA VISTA INN in Lovely La Selva Beach and HISTORIC SAND ROCK FARM in Awesome Aptos. Please contact the individual Inn Directly and Visit our Web Site at www.SantaCruzbnb.com",,,"Santa Cruz","Bronze","Accommodations","n","y",03/31/15 12:00 AM
,"green",36.9757,-122.0173,"Bettencourt Interiors","831-464-7306",,"All phases of Residential and Commercial Interior Design.  Bettencourt Interiors is your resource for furnishings  flooring  custom window treatments and upholstery including shades  blinds and shutters.","536 Soquel Ave  ","CA",95062,"Santa Cruz",,,,"Santa Cruz","Bronze","Home & Garden","y","n",
,"red",37.0909,-122.2709,"Big Creek Lumber Co.","(831) 457-5029","www.big-creek.com","Big Creek Lumber is a family-owned and operated lumber company that has been serving central California since 1946.  We currently operate five Pro Dealer retail lumber yards, sawmill, wholesale division, forestry department, and logging operation.","3564 Hwy 1 ","CA",95017," Davenport",,"logo_BigCreek.jpg",,"North Coast","Silver","Lumber & Building Materials","y","n",
,"green",36.9630,-122.0130,"Blue Moon Clothing Santa Cruz","(831) 469-4253","bluemoon@cruzio.com","Unique selection of women's clothing  lingerie  jewelry and accessories.  New shipments daily.   Free parking.","1129 Soquel Ave. Santa Cruz  CA 95062","CA",95062,"Santa Cruz",,,"womens clothing apparel jewelry lingerie accessories ","Santa Cruz","Bronze","Apparel","n","n",
,"green",36.9777,-122.0142,"Blueprint Express of Santa Cruz","831-426-5299","bpxofsc@sbcglobal.net","Full  blueprint service and supplies.  Large and small format reproduction.  Full color or color line up to 54' wide.  Posters  Glossy photo  Photocopy  Plot/ Scan  and Display mount.  Always quick turnaround.  Family owned and operated since 1978. ","820 Soquel Avenue","CA",95062,"Santa Cruz",,,,"Watsonville","Bronze","Printers","y","n",
,"green",36.9824,-122.0329,"Bogard Construction  Inc.","831-426-8191","www.bogardconst.com","Bogard Construction is a family owned and operated construction firm  based in Santa Cruz since 1947. Our services include all phases of construction - from preconstruction and design coordination  to general construction and construction management.","350A Coral St.","CA",95060,"Santa Cruz",,"logo_BogardConstr.jpg",,"Santa Cruz","Bronze","Contractors  Construction & Design","y","n",
,"green",36.9799,-122.0126,"Bogner Sheet Metal","831-423-4322","www.bognersheetmetal.com","Installation  Repair and Replacement on all your Heating - Air-Conditioning equipment and So Much More! ","142 Benito Avenue  ","CA",95062,"Santa Cruz","Have your furnace serviced before Dec. 2nd and receive a $50 mail in rebate!",,"furnace  heating  repair  air conditioning","Santa Cruz","Bronze","Contractors  Construction & Design","n","y",12/02/11 12:00 AM
,"green",37.0575,-122.0100,"BOGNER'S ALL AIR INC","831-438-5254","www.bognersallair.com","SPECIALIZING IN QUALITY HEATING AND AIR CONDITIONING AND INDOOR AIR QUALITY SYSTEMS FOR RESIDENTIAL AND COMMERCIAL BUILDINGS. WE ARE DIAMOND CERTIFIED AND A PREMIER LENNOX DEALER. 24 HOUR EMERGENCY SERVICE AND REPAIR.","5310C SCOTTS VALLEY DR","CA",95066,"Scotts Valley",,,"HEATING  AIR CONDITIONING  SHEET METAL  INDOOR AIR QUALITY  SERVICE  REPAIR  MAINTENANCE  LENNOX  BRYANT  DAY AND NIGHT","Scotts Valley","Bronze","Contractors  Construction & Design","y","n",
,"green",36.9779,-121.9437,"Bond Marketing Communications","831-464-7748","www.bondmarcom.com","Stand out from the competition! Bond Marketing Communications will strengthen your brand & attract new clients with creative  cost-effective online & offline promotion strategies  compelling copywriting  search engine-optimized website content & PR.","129 Wesley St","CA",95010,"Capitola","FREE: 1/2 hour marketing consultation.  A few possible topics: how to make your website more compelling. How to optimize your website for Google searches. What do you need to know about Local Search. PR ideas to get your business in the news. Which social media marketing makes most sense for your business.","logo_BondMarketing.jpg","marketing   advertising   branding   writer  copywriter   marketing consultant   publicist  ","Capitola","Bronze","Marketing","y","y",06/30/12 12:00 AM
,"gold",36.9757,-122.0268,"Bookshop Santa Cruz","(831) 423-0900","www.bookshopsantacruz.com","Your local bookstore since 1966!  Open 9am-10pm; Fri.-Sat. until 11pm ","1520 Pacific Ave.","CA",95060,"Santa Cruz",,"logo_BookShopSC.jpg","gold","Santa Cruz","Gold","Books","y","n",
,"orange",36.9856,-122.0475,"Bosso Williams  A Professional Corporation","831 426 8484","bossowilliams.com","Bosso Williams is a full service law firm with over 20 years of experience and a reputation for providing high quality legal service to the businesses and citizens of Santa Cruz.","P.0. Box 1822","CA",95060,"Santa Cruz",,"logo_BossoWilliams.jpg",,"Santa Cruz","Bronze","Attorneys","n","n",
,"green",36.9751,-122.0279,"Bowman & Williams  Corp.","(831) 426-3560","www.bowmanandwilliams.com",,"1011 Cedar St.  ","CA",95060,"Santa Cruz",,,,"Santa Cruz","Bronze","Contractors  Construction & Design","y","n",
,"yellow",36.9718,-121.9884,"Brommer Street Storage","831-462-1883",,,"1300 Brommer St.","CA",95062,"Santa Cruz",,,"storage rental unit","Aptos / La Selva","Community Supporter","Customer","n","n",
,"green",36.9799,-122.0190,"Bruce's Medical Plaza Pharmacy","831-423-4363",,"Pharmacy Services serving the North County area.  Pharmacists that want you to understand your medicines.  Delivery Service available and great cash prices too.  We help you with all your medicine needs.","550 Water St.   ","CA",95060,"Santa Cruz",,,,"Santa Cruz","Bronze","Pharmacy","y","n",
